Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,137.667297,138.565964,135.525818,136.061188,129.450317,6437189
2021-10-19,134.875717,136.653915,134.340347,135.736145,129.141052,4539117
2021-10-20,135.449326,135.946457,134.512421,135.659653,129.068283,6474008
2021-10-21,127.638626,127.839386,122.466537,122.686424,116.725388,32913959
2021-10-22,122.418739,124.521988,121.042068,122.256210,116.316086,12114981
2021-10-25,121.921608,122.992355,121.357552,122.026772,116.097778,6667204
2021-10-26,121.912048,122.657745,121.185471,121.539200,115.633904,8912861
2021-10-27,121.835564,122.256210,119.512428,119.665390,113.851135,7294176
2021-10-28,119.665390,120.755257,119.139580,120.305923,114.460548,6802138
2021-10-29,119.913956,120.764816,119.416824,119.598473,113.787468,6188973
2021-11-01,119.550667,120.755257,118.393883,120.726578,114.860764,6177153
2021-11-02,120.745697,121.577438,119.416824,120.630974,114.769806,4722062
2021-11-03,120.678780,121.692162,120.152962,121.539200,115.633904,5670784
2021-11-04,123.050003,123.339996,119.900002,120.849998,114.978195,7208700
2021-11-05,121.430000,123.769997,121.430000,123.610001,117.604095,6790500
2021-11-08,123.989998,124.779999,123.529999,124.540001,118.488907,5625300
2021-11-09,122.559998,122.900002,120.260002,120.849998,116.512482,7236600
2021-11-10,121.000000,122.430000,119.930000,120.220001,115.905098,6270300
2021-11-11,120.900002,121.790001,120.080002,120.269997,115.953293,4643300
2021-11-12,120.000000,120.639999,118.779999,118.959999,114.690315,5418300
2021-11-15,119.540001,120.160004,118.309998,118.870003,114.603546,5046300
2021-11-16,118.919998,119.900002,118.419998,118.459999,114.208260,4750800
2021-11-17,118.379997,119.330002,117.779999,118.059998,113.822617,4043300
2021-11-18,118.360001,118.360001,116.309998,116.660004,112.472870,5046900
2021-11-19,116.489998,116.559998,115.269997,116.050003,111.884758,5380200
2021-11-22,116.000000,118.809998,115.190002,116.470001,112.289680,6416200
2021-11-23,116.790001,117.940002,116.040001,116.790001,112.598206,4912800
2021-11-24,116.160004,117.269997,116.080002,116.730003,112.540359,3220800
2021-11-26,115.000000,116.339996,114.559998,115.809998,111.653374,3322000
2021-11-29,118.620003,119.610001,117.529999,118.500000,114.246819,8949800
2021-11-30,117.500000,119.239998,116.449997,117.099998,112.897072,9252700
2021-12-01,118.250000,118.930000,116.849998,116.919998,112.723534,5958300
2021-12-02,117.370003,117.980003,116.559998,116.900002,112.704254,5267100
2021-12-03,117.360001,119.360001,117.360001,118.839996,114.574623,6630100
2021-12-06,119.400002,121.150002,119.400002,119.910004,115.606224,4785600
2021-12-07,120.480003,122.080002,120.070000,121.580002,117.216278,5194000
2021-12-08,122.000000,123.379997,121.519997,123.019997,118.604591,5483900
2021-12-09,122.150002,123.949997,121.790001,123.570000,119.134857,4601100
2021-12-10,124.300003,125.330002,123.360001,124.089996,119.636185,4966900
